timestamp,price_btc,market_cap_btc,volume_24h_btc,price_eth,market_cap_eth,volume_24h_eth
2025-03-10 23:31:28,79186.83,1.57T,55.32B,1875.14,226.44B,34.49B
2025-03-10 23:35:02,79174.17,1.56T,54.18B,1878.23,226.23B,35.37B
2025-03-14 13:40:03,83619.93,1.65T,27.61B,1909.44,230.14B,13.73B
2025-03-14 13:45:03,83581.30,1.65T,27.77B,1904.63,230.03B,13.72B
2025-03-14 13:50:01,83467.43,1.65T,27.28B,1893.84,228.9B,13.53B
2025-03-14 13:55:01,83691.78,1.66T,27.2B,1906.53,228.93B,13.66B
2025-03-14 14:05:01,83216.71,1.64T,27.67B,1904.61,229.7B,13.56B
2025-03-14 14:10:02,83361.16,1.64T,27.64B,1894.73,227.96B,12.93B
2025-03-14 14:15:02,83250.79,1.64T,27.91B,1902.12,229.07B,13.67B
2025-03-14 14:20:01,82991.57,1.64T,27.62B,1901.61,229.36B,12.89B
2025-03-14 14:25:02,82850.55,1.64T,28.1B,1898.48,228.74B,13.26B
2025-03-14 14:30:02,82885.29,1.64T,27.79B,1909.39,229.02B,13.37B
2025-03-14 14:35:01,82880.36,1.64T,27.9B,1907.47,229.91B,13.48B
2025-03-14 14:40:02,82915.71,1.64T,28.11B,1914.48,230.91B,13.35B
2025-03-14 14:45:02,83232.36,1.65T,28.14B,1921.63,231.33B,12.83B
2025-03-14 14:50:02,83116.37,1.64T,27.72B,1917.66,230.98B,13.35B
2025-03-14 14:55:02,83223.80,1.64T,28.4B,1914.56,230.92B,13.8B
2025-03-14 15:00:02,83296.35,1.65T,28.26B,1915.47,231.26B,13.75B
2025-03-14 15:05:01,83701.22,1.65T,27.94B,1920.42,231.3B,13.74B
2025-03-14 15:10:02,84134.20,1.66T,28.52B,1925.41,232.51B,13.56B
2025-03-14 15:15:02,84179.96,1.67T,28.25B,1930.05,233.33B,13.47B
2025-03-14 15:20:02,84268.33,1.67T,29.04B,1927.74,232.51B,13.89B
2025-03-14 15:25:02,84831.27,1.68T,29.41B,1938.92,233.87B,13.86B
2025-03-14 15:30:02,84805.05,1.68T,29.74B,1935.73,233.6B,13.98B
2025-03-14 15:35:02,84976.29,1.68T,30.05B,1937.07,233.42B,13.91B
